Subject,age,MO_TP,MO_MO,TP_TP,TP_MO
100week1,younger,0,0,0,0
100week3,younger,1.32,1,2,5
100week6,older,0,0,0,0
100week9,older,1,0,0,0
101week1,younger,0,1,0,0
101week3,younger,0,0,1,0
101week6,older,0,0,0,1
101week9,older,1,2,0,2
102week1,younger,0,0,0,0
102week3,younger,0,1,0,6
102week6,older,0,1,0,2
102week9,older,0,0,1,2
103week1,younger,2,0,0,0
103week3,younger,0,0,0,0
103week6,older,0,0,1,5
103week9,older,1,0,0,0
104week1,younger,0,3,0,6
104week3,younger,0,2,3,2
104week6,older,1,0,3,2
104week9,older,0,0,2,1
105week1,younger,0,1,0,1
105week3,younger,0,0,0,0
105week6,older,1,1,1,1
105week9,older,3,0,1,4
106week1,younger,0,0,0,0
106week3,younger,0,0,0,0
106week6,older,1,0,1,0
106week9,older,1,0,0,0
107week1,younger,2,1,0,0
107week6,older,6,3,0,1
107week9,older,0,0,0,0
108week1,younger,0,2,5,2
108week3,younger,0,2,1,10
108week6,older,2,1,2,24
108week9,older,5,4,4,0
109week1,younger,0,0,0,0
109week3,younger,0,0,0,0
109week6,older,0,0,0,9
109week9,older,0,0,3,7
10week3,younger,1,0,0,1
10week6,older,3,2,0,9
10week9,older,1,0,3,6
12week3,younger,0,0,2.68,1
12week6,older,0,0,1,0
12week9,older,0,1,7,3
13week6,older,0,2,4,0
14week1,younger,0,1,8,1
14week3,younger,0,0,4,5
14week6,older,1,0,6,5
14week9,older,0,0,0,0
15week1,younger,0,1,3,1
15week3,younger,3,0,3,3
15week6,older,0,1,4,0
15week9,older,0,0,3,9
16week1,younger,2,1,0,0
16week9,older,0,0,1,0
17week6,older,2,0,1,0
17week9,older,0,0,0,2
18week3,younger,3,0,1,8
18week6,older,2,1,27,4
19week6,older,0,4,6,4
19week9,older,0,2,1,0
20week1,younger,0,0,4,0
20week3,younger,2,1,12,1
20week6,older,0,0,3,3
21week9,older,1,1,2,11
22week1,younger,1,0,0,0
22week3,younger,0,0,1,0
22week6,older,1,0,0,0
23week3,younger,0,0,3,1
23week6,older,0,0,1,0
23week9,older,0,0,0,0
24week3,younger,0,2,5,4
24week6,older,1,0,2,2
24week9,older,0,0,0,0
25week1,younger,0,3,8,0
25week3,younger,0,0,3,0
25week6,older,0,0,0,0
25week9,older,0,0,6,0
26week1,younger,0,0,0,0
26week3,younger,2,1,7,5
26week6,older,1,2,1,0
26week9,older,1,0,4,5
27week1,younger,0,0,0,0
27week3,younger,0,0,1,0
27week6,older,0,0,3,1
27week9,older,1,1,0,0
28week1,younger,1,1,0,0
28week3,younger,0,0,2,7
29week1,younger,0,0,0,0
29week3,younger,0,0,0,1
29week6,older,0,0,0,0
29week9,older,0,0,2,3
2week1,younger,0,0,4,8
2week3,younger,5,1,0,6
2week6,older,0,0,1,2
30week1,younger,2,1,0,0
30week3,younger,6,0,4,1
30week6,older,2,4,0,3
30week9,older,0,2,3,14
31week1,younger,2,0,0,4
31week3,younger,0,0,0,0
31week6,older,0,1,1,0
31week9,older,5,0,4,0
33week1,younger,1,0,4,1
33week3,younger,0,0,3,1
33week6,older,0,3,7,3
33week9,older,0,0,0,0
35week6,older,0,0,0,0
35week9,older,0,0,1,0
36week1,younger,0,5,1,0
36week3,younger,5,0,1,2
36week9,older,0,0,0,0
37week1,younger,0,0,0,0
37week3,younger,1,0,0,0
37week6,older,1,1,5,0
37week9,older,0,0,1,1
38week1,younger,0,0,1,1
38week3,younger,2,2,2,1
38week6,older,0,0,0,0
38week9,older,0,5,11,2
39week1,younger,1,6,2,3
39week3,younger,1,1,2,4
39week6,older,0,0,1,0
39week9,older,1,2,18,13
3week9,older,0,0,0,1
40week1,younger,4,0,1,0
40week9,older,0,0,2,4
41week1,younger,1,1,0,0
41week3,younger,0,0,0,0
41week9,older,1,2,2,3
42week1,younger,0,0,0,7
42week3,younger,0,0,4,0
42week6,older,0,0,0,2
42week9,older,0,0,0,0
43week1,younger,0,0,0,0
43week3,younger,0,0,0,0
43week6,older,0,0,0,0
43week9,older,3,0,1,0
44week1,younger,0,0,0,0
44week3,younger,0,0,0,0
44week6,older,0,0,1,0
44week9,older,0,0,2,0
45week3,younger,0,0,1,0
45week6,older,0,0,2,2
45week9,older,0,2,0,3
